id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
42,Crimson House,Isabella Johnson,Canadian,Graphic Novel,Action,Spanish,2020,99,Penguin Random House,9780934260497,Series 14,1,4.04,,A synthetic sample description generated for dataset testing and demonstrations.,"love,magic,secrets",https://covers.openlibrary.org/b/isbn/9780934260497-L.jpg
43,Last City,Harper Moore,Japanese,Self-help,Personal Development,Korean,1958,341,Simon & Schuster,9783204747278,,,4.51,,A synthetic sample description generated for dataset testing and demonstrations.,"history,crime,magic",https://covers.openlibrary.org/b/isbn/9783204747278-L.jpg
44,First City,Henry Taylor,British,Fantasy,Urban Fantasy,French,1994,527,Willow Books,9786739838367,Series 14,2,3.53,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,war,secrets",https://covers.openlibrary.org/b/isbn/9786739838367-L.jpg
45,Midnight Orchard,Charlotte Martinez,Pakistani,Fiction,Literary Fiction,Arabic,2014,498,Bloomsbury,9783472186861,Series 13,4,4.66,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,betrayal,family",https://covers.openlibrary.org/b/isbn/9783472186861-L.jpg
46,Last Lantern,Luna Jones,Pakistani,Fantasy,Epic Fantasy,Chinese,2012,85,Praia Azul,9780606275613,Series 7,7,3.93,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,mystery,identity",https://covers.openlibrary.org/b/isbn/9780606275613-L.jpg
47,Last Compass,Aria Martin,Egyptian,Fiction,Contemporary,Spanish,1981,573,Macmillan,9786978231417,,,3.94,,A synthetic sample description generated for dataset testing and demonstrations.,"family,war,betrayal",https://covers.openlibrary.org/b/isbn/9786978231417-L.jpg
48,First House,James Williams,British,Speculative,Magical Realism,Arabic,1962,165,Simon & Schuster,9788044361783,,,3.46,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,betrayal,war",https://covers.openlibrary.org/b/isbn/9788044361783-L.jpg
49,First Key,Mason Johnson,Korean,Mystery,Crime,Hindi,1965,344,Cosmos Press,9781486342235,,,3.66,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,love,mystery",https://covers.openlibrary.org/b/isbn/9781486342235-L.jpg
50,Silent Key,Liam Brown,Australian,Horror,Gothic,Spanish,1986,747,IndieWorks,9788669258154,,,4.23,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,future,crime",https://covers.openlibrary.org/b/isbn/9788669258154-L.jpg
51,Last Compass,Luna Williams,Chinese,Nonfiction,Memoir,Hindi,1951,110,GreenLeaf,9781234957964,,,4.48,,A synthetic sample description generated for dataset testing and demonstrations.,"war,technology,family",https://covers.openlibrary.org/b/isbn/9781234957964-L.jpg
52,First River,Harper Gonzalez,Canadian,Science Fiction,Near-future,Spanish,2024,419,Lotus Reads,9789915592862,,,3.25,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,technology,history",https://covers.openlibrary.org/b/isbn/9789915592862-L.jpg
53,Crimson City,James Lopez,German,Fantasy,Urban Fantasy,Portuguese,1951,233,Macmillan,9787051255306,Series 16,2,3.72,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,love,identity",https://covers.openlibrary.org/b/isbn/9787051255306-L.jpg
54,Broken Compass,Sophia Moore,German,Nonfiction,Memoir,English,2003,375,Bloomsbury,9783355734936,Series 26,2,4.69,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,war,love",https://covers.openlibrary.org/b/isbn/9783355734936-L.jpg
55,Last Lantern,Aiden Martinez,Korean,Speculative,Magical Realism,Arabic,1996,165,NovaWorks,9787631136919,,,3.76,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,family,love",https://covers.openlibrary.org/b/isbn/9787631136919-L.jpg
56,Golden Garden,Olivia Thomas,Canadian,Graphic Novel,Action,Korean,1985,529,Simon & Schuster,9781267198808,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,future,redemption",https://covers.openlibrary.org/b/isbn/9781267198808-L.jpg
57,Broken House,Luna Martin,Pakistani,Speculative,Magical Realism,German,1980,314,Macmillan,9784983034153,,,3.41,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,war,family",https://covers.openlibrary.org/b/isbn/9784983034153-L.jpg
58,Shadows Key,Harper Williams,Pakistani,Mystery,Psychological Thriller,Hindi,1965,138,Riverbend,9784632098949,Series 27,3,4.28,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,betrayal,adventure",https://covers.openlibrary.org/b/isbn/9784632098949-L.jpg
59,First Key,Emma Rodriguez,Korean,Fiction,Literary Fiction,Italian,2023,701,HarperCollins,9787643774277,Series 6,7,4.64,,A synthetic sample description generated for dataset testing and demonstrations.,"love,war,betrayal",https://covers.openlibrary.org/b/isbn/9787643774277-L.jpg
60,Crimson Promise,Luna Wilson,Australian,Science Fiction,Space Opera,Korean,2011,194,Cosmos Press,9789542306283,Series 13,1,3.92,,A synthetic sample description generated for dataset testing and demonstrations.,"future,family,love",https://covers.openlibrary.org/b/isbn/9789542306283-L.jpg
61,Hidden City,Lucas Rodriguez,Italian,Children,Picture Book,Arabic,1984,726,GreenLeaf,9789389471182,,,3.5,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,technology,adventure",https://covers.openlibrary.org/b/isbn/9789389471182-L.jpg
62,Midnight Thread,Sophia Brown,Indian,Nonfiction,History,Italian,2025,86,Simon & Schuster,9788311252189,,,4.53,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,betrayal,future",https://covers.openlibrary.org/b/isbn/9788311252189-L.jpg
63,Silent City,Noah Wilson,Indian,Young Adult,Contemporary,Japanese,2008,157,Riverbend,9788109962122,,,4.49,,A synthetic sample description generated for dataset testing and demonstrations.,"family,adventure,future",https://covers.openlibrary.org/b/isbn/9788109962122-L.jpg
64,Silent Key,Luna Rodriguez,Pakistani,Nonfiction,Memoir,Portuguese,1998,632,Macmillan,9789285256272,Series 27,7,4.02,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,mystery,history",https://covers.openlibrary.org/b/isbn/9789285256272-L.jpg
65,Crimson Promise,Mia Rodriguez,Australian,Historical Fiction,War-era,Japanese,2011,321,Riverbend,9786750761668,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,future,history",https://covers.openlibrary.org/b/isbn/9786750761668-L.jpg
66,First Promise,Harper Thomas,Canadian,Mystery,Psychological Thriller,French,1984,302,NovaWorks,9782205390766,,,3.65,,A synthetic sample description generated for dataset testing and demonstrations.,"family,magic,identity",https://covers.openlibrary.org/b/isbn/9782205390766-L.jpg
67,First Thread,Olivia Anderson,Mexican,Fantasy,Urban Fantasy,French,1968,763,Hachette,9783472678694,Series 4,6,4.4,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,family,mystery",https://covers.openlibrary.org/b/isbn/9783472678694-L.jpg
68,Last Thread,Liam Johnson,Russian,Thriller,Spy,Portuguese,2013,834,Cosmos Press,9783743700253,Series 29,3,3.89,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,mystery,history",https://covers.openlibrary.org/b/isbn/9783743700253-L.jpg
69,Last River,Luna Martin,French,Fiction,Contemporary,Chinese,2000,559,Faber & Faber,9782272791213,,,3.46,,A synthetic sample description generated for dataset testing and demonstrations.,"family,future,history",https://covers.openlibrary.org/b/isbn/9782272791213-L.jpg
70,Silent Garden,Isabella Martinez,American,Science Fiction,Near-future,French,1959,787,Simon & Schuster,9782284262190,,,3.89,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,history",https://covers.openlibrary.org/b/isbn/9782284262190-L.jpg
71,Shadows City,Liam Davis,Indian,Fiction,Contemporary,Arabic,1973,222,NeoPress,9789601393490,,,4.36,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,family,mystery",https://covers.openlibrary.org/b/isbn/9789601393490-L.jpg
72,Hidden House,Liam Miller,Spanish,Children,Picture Book,Arabic,1973,254,Hachette,9780674164031,Series 12,4,3.39,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,history,secrets",https://covers.openlibrary.org/b/isbn/9780674164031-L.jpg
73,Golden Key,Aiden Rodriguez,Italian,Romance,Contemporary Romance,German,1973,447,Hachette,9782737136733,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,adventure,technology",https://covers.openlibrary.org/b/isbn/9782737136733-L.jpg
74,Broken House,Liam Lopez,Russian,Historical Fiction,War-era,Korean,1950,812,Penguin Random House,9782687995756,Series 10,6,3.72,,A synthetic sample description generated for dataset testing and demonstrations.,"war,secrets,magic",https://covers.openlibrary.org/b/isbn/9782687995756-L.jpg
75,Shadows Garden,Isabella Martinez,Japanese,Fiction,Contemporary,Chinese,1981,846,Vintage,9783991325765,Series 19,5,3.85,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,crime,redemption",https://covers.openlibrary.org/b/isbn/9783991325765-L.jpg
76,Crimson City,Isabella Garcia,Pakistani,Thriller,Spy,Portuguese,1969,844,NovaWorks,9787442864643,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"history,secrets,identity",https://covers.openlibrary.org/b/isbn/9787442864643-L.jpg
77,Last House,Ethan Lopez,Spanish,Fantasy,Epic Fantasy,English,1961,850,IndieWorks,9789457924749,Series 7,2,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"love,mystery,technology",https://covers.openlibrary.org/b/isbn/9789457924749-L.jpg
78,Golden River,Harper Hernandez,Japanese,Science Fiction,Near-future,Japanese,2025,621,Riverbend,9786335430163,Series 17,2,4.26,,A synthetic sample description generated for dataset testing and demonstrations.,"future,technology,redemption",https://covers.openlibrary.org/b/isbn/9786335430163-L.jpg
79,First City,Mia Martin,Mexican,Historical Fiction,War-era,Korean,1982,366,Cambridge Press,9784709787554,,,3.73,,A synthetic sample description generated for dataset testing and demonstrations.,"family,history,betrayal",https://covers.openlibrary.org/b/isbn/9784709787554-L.jpg
80,Crimson River,Charlotte Gonzalez,American,Young Adult,Contemporary,German,2015,869,Vintage,9787932767164,Series 9,7,3.75,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,future,technology",https://covers.openlibrary.org/b/isbn/9787932767164-L.jpg
81,Midnight Thread,Ethan Davis,Indian,Young Adult,Contemporary,French,1985,762,Oxford Press,9781557997135,,,3.26,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,redemption,magic",https://covers.openlibrary.org/b/isbn/9781557997135-L.jpg
82,Midnight River,Benjamin Gonzalez,Italian,Fantasy,Urban Fantasy,Chinese,1960,547,Faber & Faber,9780808331704,,,3.29,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,magic,betrayal",https://covers.openlibrary.org/b/isbn/9780808331704-L.jpg
83,First City,Jack Jones,Nigerian,Romance,Contemporary Romance,Italian,1955,515,NeoPress,9788660617806,,,3.5,,A synthetic sample description generated for dataset testing and demonstrations.,"war,betrayal,redemption",https://covers.openlibrary.org/b/isbn/9788660617806-L.jpg
84,Midnight Orchard,Mia Anderson,Nigerian,Nonfiction,History,Chinese,2000,95,Praia Azul,9785504227191,,,3.39,,A synthetic sample description generated for dataset testing and demonstrations.,"future,magic,identity",https://covers.openlibrary.org/b/isbn/9785504227191-L.jpg
85,Last Orchard,Harper Gonzalez,French,Mystery,Psychological Thriller,English,2024,716,GreenLeaf,9784446644509,,,4.32,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,mystery,war",https://covers.openlibrary.org/b/isbn/9784446644509-L.jpg
86,Golden Compass,Liam Gonzalez,Egyptian,Speculative,Magical Realism,Korean,1967,210,Praia Azul,9783506916136,,,4.26,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,war,secrets",https://covers.openlibrary.org/b/isbn/9783506916136-L.jpg
87,Hidden City,Charlotte Davis,Canadian,Fiction,Literary Fiction,Japanese,2003,632,Faber & Faber,9786786350140,,,3.72,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,technology,adventure",https://covers.openlibrary.org/b/isbn/9786786350140-L.jpg
88,Golden City,Sophia Williams,German,Fiction,Literary Fiction,Portuguese,1956,808,IndieWorks,9785757777344,Series 14,2,4.13,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,magic,history",https://covers.openlibrary.org/b/isbn/9785757777344-L.jpg
89,Shadows Garden,Mia Hernandez,Nigerian,Science Fiction,Near-future,Spanish,2020,216,Faber & Faber,9782325715913,,,4.0,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,secrets,family",https://covers.openlibrary.org/b/isbn/9782325715913-L.jpg
90,Midnight Thread,Sophia Martinez,Egyptian,Mystery,Crime,Portuguese,1972,750,Willow Books,9782622911056,,,4.14,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,future,love",https://covers.openlibrary.org/b/isbn/9782622911056-L.jpg
91,Broken House,Mason Gonzalez,Irish,Nonfiction,Memoir,German,1975,683,Macmillan,9787993659408,,,4.44,,A synthetic sample description generated for dataset testing and demonstrations.,"family,crime,love",https://covers.openlibrary.org/b/isbn/9787993659408-L.jpg
92,First Promise,Henry Anderson,Chinese,Poetry,Modern,English,2014,361,Oxford Press,9782984796827,,,4.59,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,adventure,love",https://covers.openlibrary.org/b/isbn/9782984796827-L.jpg
93,Hidden River,Sophia Martinez,French,Fantasy,Urban Fantasy,Korean,1987,817,Cosmos Press,9781197837426,Series 30,4,4.11,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,adventure,magic",https://covers.openlibrary.org/b/isbn/9781197837426-L.jpg
94,Crimson Orchard,Charlotte Gonzalez,Spanish,Nonfiction,History,Spanish,1985,472,Lotus Reads,9787576280999,Series 18,1,3.78,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,love,adventure",https://covers.openlibrary.org/b/isbn/9787576280999-L.jpg
95,Last Lantern,Olivia Anderson,Mexican,Romance,Contemporary Romance,Spanish,1968,453,HarperCollins,9785344916125,Series 18,4,4.18,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,future,betrayal",https://covers.openlibrary.org/b/isbn/9785344916125-L.jpg
96,Crimson Promise,Mason Davis,Irish,Fantasy,Epic Fantasy,French,1994,300,Oxford Press,9781905440825,,,3.33,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,crime,magic",https://covers.openlibrary.org/b/isbn/9781905440825-L.jpg
97,Golden Key,Emma Lopez,Australian,Nonfiction,Memoir,Japanese,1991,207,Hachette,9788624327574,,,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"family,redemption,crime",https://covers.openlibrary.org/b/isbn/9788624327574-L.jpg
98,Last River,Luna Davis,Canadian,Nonfiction,History,Japanese,1975,314,Simon & Schuster,9782746416734,,,4.25,,A synthetic sample description generated for dataset testing and demonstrations.,"family,identity,mystery",https://covers.openlibrary.org/b/isbn/9782746416734-L.jpg
99,First Promise,Emma Anderson,Japanese,Graphic Novel,Action,German,1978,253,Lotus Reads,9781428286757,,,3.26,,A synthetic sample description generated for dataset testing and demonstrations.,"future,history,betrayal",https://covers.openlibrary.org/b/isbn/9781428286757-L.jpg
100,Midnight Promise,Sophia Moore,Mexican,Horror,Gothic,German,1961,630,Vintage,9782148078332,,,4.56,,A synthetic sample description generated for dataset testing and demonstrations.,"future,betrayal,secrets",https://covers.openlibrary.org/b/isbn/9782148078332-L.jpg
101,Hidden Orchard,Amelia Thomas,Russian,Fiction,Contemporary,Chinese,2010,575,NovaWorks,9788419978462,,,4.16,,A synthetic sample description generated for dataset testing and demonstrations.,"love,mystery,family",https://covers.openlibrary.org/b/isbn/9788419978462-L.jpg
102,Silent Key,Jack Davis,Chinese,Mystery,Psychological Thriller,German,1980,781,Riverbend,9783426046715,,,4.12,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,identity,adventure",https://covers.openlibrary.org/b/isbn/9783426046715-L.jpg
103,Silent Thread,Olivia Johnson,Swedish,Fantasy,Urban Fantasy,French,1995,525,GreenLeaf,9787878681463,,,4.0,,A synthetic sample description generated for dataset testing and demonstrations.,"war,identity,redemption",https://covers.openlibrary.org/b/isbn/9787878681463-L.jpg
104,Broken Orchard,Noah Martinez,Australian,Mystery,Psychological Thriller,Chinese,1974,132,IndieWorks,9785357265623,,,3.3,,A synthetic sample description generated for dataset testing and demonstrations.,"war,redemption,crime",https://covers.openlibrary.org/b/isbn/9785357265623-L.jpg
